year,pollutant,industry,emission_value
2010,Benzene,Financial and insurance activities,2.00E-03
2010,Benzene,Human health and social work activities,2.30E-02
2010,Benzene,Information and communication,1.30E-02
2010,Benzene,Manufacturing,2.134
2010,Benzene,Mining and quarrying,0.526
2010,Benzene,Other service activities,7.00E-03
2010,Benzene,"Professional, scientific and technical activities",2.40E-02
2010,Benzene,Public administration and defence; compulsory social security,0.161
2010,Benzene,Real estate activities,8.00E-03
2010,Benzene,Transport and storage,2.343
2010,Benzene,"Water supply; sewerage, waste management and remediation activities",1
2010,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.15
2011,Benzene,"Agriculture, forestry and fishing",0.18
2011,Benzene,"Arts, entertainment and recreation",1.40E-02
2011,Benzene,Construction,0.146
2011,Benzene,Education,1.10E-02
2011,Benzene,"Electricity, gas, steam and air conditioning supply",0.416
2011,Benzene,Financial and insurance activities,2.00E-03
2011,Benzene,Human health and social work activities,1.90E-02
2011,Benzene,Information and communication,0.01
2011,Benzene,Manufacturing,1.937
2011,Benzene,Mining and quarrying,0.636
2011,Benzene,Other service activities,6.00E-03
2011,Benzene,"Professional, scientific and technical activities",0.02
2011,Benzene,Public administration and defence; compulsory social security,0.143
2011,Benzene,Real estate activities,7.00E-03
2011,Benzene,Transport and storage,2.628
2011,Benzene,"Water supply; sewerage, waste management and remediation activities",0.994
2011,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.127
2012,Benzene,"Agriculture, forestry and fishing",0.195
2012,Benzene,"Arts, entertainment and recreation",1.20E-02
2012,Benzene,Construction,0.131
2012,Benzene,Education,1.20E-02
2012,Benzene,"Electricity, gas, steam and air conditioning supply",0.401
2012,Benzene,Financial and insurance activities,2.00E-03
2012,Benzene,Human health and social work activities,2.10E-02
2012,Benzene,Information and communication,9.00E-03
2012,Benzene,Manufacturing,2.054
2012,Benzene,Mining and quarrying,0.547
2012,Benzene,Other service activities,6.00E-03
2012,Benzene,"Professional, scientific and technical activities",1.80E-02
2012,Benzene,Public administration and defence; compulsory social security,0.13
2012,Benzene,Real estate activities,6.00E-03
2012,Benzene,Transport and storage,2.345
2012,Benzene,"Water supply; sewerage, waste management and remediation activities",0.988
2012,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.118
2013,Benzene,"Agriculture, forestry and fishing",0.175
2013,Benzene,"Arts, entertainment and recreation",0.01
2013,Benzene,Construction,0.12
2013,Benzene,Education,1.20E-02
2013,Benzene,"Electricity, gas, steam and air conditioning supply",0.366
2013,Benzene,Financial and insurance activities,2.00E-03
2013,Benzene,Human health and social work activities,2.20E-02
2013,Benzene,Information and communication,7.00E-03
2013,Benzene,Manufacturing,2.106
2013,Benzene,Mining and quarrying,0.488
2013,Benzene,Other service activities,5.00E-03
2013,Benzene,"Professional, scientific and technical activities",1.40E-02
2013,Benzene,Public administration and defence; compulsory social security,0.116
2013,Benzene,Real estate activities,6.00E-03
2013,Benzene,Transport and storage,1.973
2013,Benzene,"Water supply; sewerage, waste management and remediation activities",0.975
2013,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.1
2014,Benzene,"Agriculture, forestry and fishing",0.196
2014,Benzene,"Arts, entertainment and recreation",8.00E-03
2014,Benzene,Construction,0.119
2014,Benzene,Education,0.01
2014,Benzene,"Electricity, gas, steam and air conditioning supply",0.34
2014,Benzene,Financial and insurance activities,1.00E-03
2014,Benzene,Human health and social work activities,1.90E-02
2014,Benzene,Information and communication,6.00E-03
2014,Benzene,Manufacturing,1.977
2014,Benzene,Mining and quarrying,0.466
2014,Benzene,Other service activities,4.00E-03
2014,Benzene,"Professional, scientific and technical activities",1.20E-02
2014,Benzene,Public administration and defence; compulsory social security,9.90E-02
2014,Benzene,Real estate activities,5.00E-03
2014,Benzene,Transport and storage,2.53
2014,Benzene,"Water supply; sewerage, waste management and remediation activities",0.966
2014,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.09
2015,Benzene,"Agriculture, forestry and fishing",0.187
2015,Benzene,"Arts, entertainment and recreation",8.00E-03
2015,Benzene,Construction,0.119
2015,Benzene,Education,0.01
2015,Benzene,"Electricity, gas, steam and air conditioning supply",0.329
2015,Benzene,Financial and insurance activities,1.00E-03
2015,Benzene,Human health and social work activities,1.90E-02
2015,Benzene,Information and communication,6.00E-03
2015,Benzene,Manufacturing,2.066
2015,Benzene,Mining and quarrying,0.536
2015,Benzene,Other service activities,4.00E-03
2015,Benzene,"Professional, scientific and technical activities",1.20E-02
2015,Benzene,Public administration and defence; compulsory social security,8.10E-02
2015,Benzene,Real estate activities,5.00E-03
2015,Benzene,Transport and storage,2.672
2015,Benzene,"Water supply; sewerage, waste management and remediation activities",0.938
2015,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,8.80E-02
2016,Benzene,"Agriculture, forestry and fishing",0.18
2016,Benzene,"Arts, entertainment and recreation",9.00E-03
2016,Benzene,Construction,0.122
2016,Benzene,Education,0.01
2016,Benzene,"Electricity, gas, steam and air conditioning supply",0.322
2016,Benzene,Financial and insurance activities,1.00E-03
2016,Benzene,Human health and social work activities,0.02
2016,Benzene,Information and communication,6.00E-03
2016,Benzene,Manufacturing,1.806
2016,Benzene,Mining and quarrying,0.529
2016,Benzene,Other service activities,4.00E-03
2016,Benzene,"Professional, scientific and technical activities",1.10E-02
2016,Benzene,Public administration and defence; compulsory social security,7.70E-02
2016,Benzene,Real estate activities,5.00E-03
2016,Benzene,Transport and storage,2.969
2016,Benzene,"Water supply; sewerage, waste management and remediation activities",0.924
2016,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,8.20E-02
2017,Benzene,"Agriculture, forestry and fishing",0.177
2017,Benzene,"Arts, entertainment and recreation",1.20E-02
2017,Benzene,Construction,0.126
2017,Benzene,Education,0.01
2017,Benzene,"Electricity, gas, steam and air conditioning supply",0.309
2017,Benzene,Financial and insurance activities,1.00E-03
2017,Benzene,Human health and social work activities,1.90E-02
2017,Benzene,Information and communication,6.00E-03
2017,Benzene,Manufacturing,1.851
2017,Benzene,Mining and quarrying,0.588
2017,Benzene,Other service activities,4.00E-03
2017,Benzene,"Professional, scientific and technical activities",1.10E-02
2017,Benzene,Public administration and defence; compulsory social security,0.08
2017,Benzene,Real estate activities,5.00E-03
2017,Benzene,Transport and storage,1.788
